date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:33	74/74	---M--	200	added ('OK')	text/plain	etag:%224a-52617def11c80%22	http://www.dare-greatly.com/robots.txt		(from )
14:02:33	15487/-1	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:35%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design.html	(from )
14:02:35	27281/27281	---M--	200	added ('OK')	text/css	etag:%226a91-52617e20a9180%22	http://www.dare-greatly.com/css/libraries.min.css	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/libraries.min.css	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:36	93346/93346	---M--	200	added ('OK')	text/css	etag:%2216ca2-52617e20a9180%22	http://www.dare-greatly.com/css/app.min.css	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/app.min.css	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:38	952/952	---M--	200	added ('OK')	image/png	etag:%223b8-52617def11c80%22	http://www.dare-greatly.com/images/favicon.png	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/favicon.png	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:39	5954/5954	---M--	200	added ('OK')	image/jpeg	etag:%221742-52617def11c80%22	http://www.dare-greatly.com/images/parallels/h_cadillac_dg.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/h_cadillac_dg.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:40	16145/16145	---M--	200	added ('OK')	application/javascript	etag:%223f11-52617e1cd8880%22	http://www.dare-greatly.com/js/vendor/modernizr.min.js	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/js/vendor/modernizr.min.js	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:41	22308/22308	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:42%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/exploration	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/exploration.html	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:41	22344/22344	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:43%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/form	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/form.html	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:43	24608/24608	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:44%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/color	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/color.html	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:43	24706/24706	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:45%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/material	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/material.html	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:44	77476/77476	---M--	200	added ('OK')	application/javascript	etag:%2212ea4-52617def11c80%22	http://www.dare-greatly.com/js/s_code.js	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/js/s_code.js	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:45	34654/34654	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2001%20Dec%202015%2015:14:16%20GMT	http://s.btstatic.com/tag.js	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/s.btstatic.com/tag.js	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:45	23254/-1	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:41%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/inspiration	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/inspiration.html	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:02:46	25100/-1	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Dec%202015%2019:02:46%20GMT	http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/construction	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/construction.html	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
